ID,Title,Difficulty,Link,Topics,Acceptance Rate (%),Likes,Dislikes,Array,Backtracking,Biconnected Component,Binary Indexed Tree,Binary Search,Binary Search Tree,Binary Tree,Bit Manipulation,Bitmask,Brainteaser,Breadth-First Search,Bucket Sort,Combinatorics,Counting,Counting Sort,Data Stream,Depth-First Search,Design,Divide and Conquer,Doubly-Linked List,Dynamic Programming,Enumeration,Eulerian Circuit,Game Theory,Geometry,Graph,Greedy,Hash Function,Hash Table,Heap (Priority Queue),Interactive,Iterator,Line Sweep,Linked List,Math,Matrix,Memoization,Merge Sort,Minimum Spanning Tree,Monotonic Queue,Monotonic Stack,Number Theory,Ordered Set,Prefix Sum,Probability and Statistics,Queue,Quickselect,Radix Sort,Randomized,Recursion,Rejection Sampling,Reservoir Sampling,Rolling Hash,Segment Tree,Shortest Path,Simulation,Sliding Window,Sort,Sorting,Stack,String,String Matching,Strongly Connected Component,Suffix Array,Topological Sort,Tree,Trie,Two Pointers,Union Find
3618,Split Array by Prime Indices,0.5,https://leetcode.com/problems/split-array-by-prime-indices/,"['Array', 'Math', 'Number Theory']",0.4690364131781024,0.0005039528804056821,9.989511013435893e-05,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3606,Coupon Code Validator,0.0,https://leetcode.com/problems/coupon-code-validator/,"['Array', 'Hash Table', 'String', 'Sorting']",0.5317067129056229,0.0005826955179690699,0.0010988462114779481,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3621,Number of Integers With Popcount-Depth Equal to K I,1.0,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-i/,"['Math', 'Dynamic Programming', 'Combinatorics']",0.1078771364874907,0.00044095877035497174,0.0001498426652015384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3639,Minimum Time to Activate String,0.5,https://leetcode.com/problems/minimum-time-to-activate-string/,"['Array', 'Binary Search']",0.2783007183552142,0.0013228763110649155,0.00019979022026871785,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3624,Number of Integers With Popcount-Depth Equal to K II,1.0,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-ii/,"['Array', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree']",0.326975476839237,0.0001732338026394532,0.00044952799560461516,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3614,Process String with Special Operations II,1.0,https://leetcode.com/problems/process-string-with-special-operations-ii/,"['String', 'Simulation']",0.05920237800346789,0.001086648398374752,0.0003995804405374357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3629,Minimum Jumps to Reach End via Prime Teleportation,0.5,https://leetcode.com/problems/minimum-jumps-to-reach-end-via-prime-teleportation/,"['Array', 'Hash Table', 'Math', 'Breadth-First Search', 'Number Theory']",0.08719346049046317,0.0014016189486283034,0.0006992657709405125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3603,Minimum Cost Path with Alternating Directions II,0.5,https://leetcode.com/problems/minimum-cost-path-with-alternating-directions-ii/,"['Array', 'Dynamic Programming', 'Matrix']",0.40760465692345793,0.0007716778481212007,0.00034963288547025626,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3612,Process String with Special Operations I,0.5,https://leetcode.com/problems/process-string-with-special-operations-i/,"['String', 'Simulation']",0.6663363884072331,0.0005354499354310371,0.0003995804405374357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3609,Minimum Moves to Reach Target in Grid,1.0,https://leetcode.com/problems/minimum-moves-to-reach-target-in-grid/,['Math'],0.03158285855833537,0.0005354499354310371,0.0001498426652015384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
